Time_window,Brain_region,Model_type,Correlation,
6,Lateral,VIB_UNSUP,0.0241,e61
6,Lateral,VIB_UNSUP,0.03284,e62
6,Lateral,VIB_UNSUP,0.00136,e8
6,Lateral,VIB_RL,0.00715,e90
6,Lateral,VIB_RL,0.00752,e69
6,Lateral,VIB_RL,0.00283,e70
6,Lateral,VIB_RL,0.04018,e53
6,Lateral,VIB_RL,0.00629,e60
6,Lateral,VIB_RL,0.02197,e61
6,Lateral,VIB_RL,0.02828,e62
6,Lateral,VIB_RL,0,e8
6,Lateral,ResNet_SUP,0.01001,e90
6,Lateral,ResNet_SUP,0.00718,e69
6,Lateral,ResNet_SUP,0.00501,e70
6,Lateral,ResNet_SUP,0.04834,e53
6,Lateral,ResNet_SUP,0.01217,e60
6,Lateral,ResNet_SUP,0.02776,e61
6,Lateral,ResNet_SUP,0.02911,e62
6,Lateral,ResNet_SUP,0.00188,e8
6,Lateral,ResNet_UNSUP,0.0089,e90
6,Lateral,ResNet_UNSUP,0.0075,e69
6,Lateral,ResNet_UNSUP,0.00228,e70
6,Lateral,ResNet_UNSUP,0.03707,e53
6,Lateral,ResNet_UNSUP,0.00572,e60
6,Lateral,ResNet_UNSUP,0.01949,e61
6,Lateral,ResNet_UNSUP,0.02935,e62
6,Lateral,ResNet_UNSUP,0.00063,e8
6,Lateral,ResNet_RL,0.00814,e90
6,Lateral,ResNet_RL,0.00476,e69
6,Lateral,ResNet_RL,0.0023,e70
6,Lateral,ResNet_RL,0.02335,e53
6,Lateral,ResNet_RL,0.0044,e60
6,Lateral,ResNet_RL,0.01672,e61
6,Lateral,ResNet_RL,0.01622,e62
6,Lateral,ResNet_RL,0.00082,e8
6,Ventral,VIB_SUP,0.00446,e85
6,Ventral,VIB_SUP,0.04553,e64
6,Ventral,VIB_SUP,0.00929,e2
6,Ventral,VIB_SUP,0.02061,e9
6,Ventral,VIB_SUP,0.03103,e10
6,Ventral,VIB_SUP,0.00984,e11
6,Ventral,VIB_SUP,0.01927,e12
6,Ventral,VIB_SUP,0.00837,e24
6,Ventral,VIB_SUP,0.01793,e34
6,Ventral,VIB_SUP,0.00854,e100
6,Ventral,VIB_SUP,0.00202,e44
6,Ventral,VIB_SUP,0,e39
6,Ventral,VIB_UNSUP,0.00587,e85
6,Ventral,VIB_UNSUP,0.04543,e64
6,Ventral,VIB_UNSUP,0.00158,e2
6,Ventral,VIB_UNSUP,0.00941,e9
6,Ventral,VIB_UNSUP,0.02674,e10
6,Ventral,VIB_UNSUP,0.01051,e11
6,Ventral,VIB_UNSUP,0.0173,e12
6,Ventral,VIB_UNSUP,0.00629,e24
6,Ventral,VIB_UNSUP,0.0092,e34
6,Ventral,VIB_UNSUP,0.01078,e100
6,Ventral,VIB_UNSUP,0.00437,e44
6,Ventral,VIB_UNSUP,0,e39
6,Ventral,VIB_RL,0.00524,e85
6,Ventral,VIB_RL,0.04561,e64
6,Ventral,VIB_RL,0.00214,e2
6,Ventral,VIB_RL,0.01646,e9
6,Ventral,VIB_RL,0.03046,e10
6,Ventral,VIB_RL,0.00692,e11
6,Ventral,VIB_RL,0.00672,e12
6,Ventral,VIB_RL,0.00926,e24
6,Ventral,VIB_RL,0.00826,e34
6,Ventral,VIB_RL,0.0104,e100
6,Ventral,VIB_RL,0.00271,e44
6,Ventral,VIB_RL,0,e39
6,Ventral,ResNet_SUP,0.00591,e85
6,Ventral,ResNet_SUP,0.04092,e64
6,Ventral,ResNet_SUP,0.00553,e2
6,Ventral,ResNet_SUP,0.02603,e9
6,Ventral,ResNet_SUP,0.02074,e10
6,Ventral,ResNet_SUP,0.01411,e11
6,Ventral,ResNet_SUP,0.02136,e12
6,Ventral,ResNet_SUP,0.01717,e24
6,Ventral,ResNet_SUP,0.01365,e34
6,Ventral,ResNet_SUP,0.00856,e100
6,Ventral,ResNet_SUP,0.00187,e44
6,Ventral,ResNet_SUP,0,e39
6,Ventral,ResNet_UNSUP,0.00434,e85
6,Ventral,ResNet_UNSUP,0.04224,e64
6,Ventral,ResNet_UNSUP,0.00056,e2
6,Ventral,ResNet_UNSUP,0.00772,e9
6,Ventral,ResNet_UNSUP,0.02702,e10
6,Ventral,ResNet_UNSUP,0.01127,e11
6,Ventral,ResNet_UNSUP,0.01606,e12
6,Ventral,ResNet_UNSUP,0.0063,e24
6,Ventral,ResNet_UNSUP,0.00878,e34
6,Ventral,ResNet_UNSUP,0.01003,e100
6,Ventral,ResNet_UNSUP,0.00384,e44
6,Ventral,ResNet_UNSUP,0,e39
6,Ventral,ResNet_RL,0.00285,e85
6,Ventral,ResNet_RL,0.03047,e64
6,Ventral,ResNet_RL,0.00729,e2
6,Ventral,ResNet_RL,0.00295,e9
6,Ventral,ResNet_RL,0.0047,e10
6,Ventral,ResNet_RL,0.01659,e11
6,Ventral,ResNet_RL,0.03084,e12
6,Ventral,ResNet_RL,0.01112,e24
6,Ventral,ResNet_RL,0.00569,e34
6,Ventral,ResNet_RL,0.009,e100
6,Ventral,ResNet_RL,0.00481,e44
6,Ventral,ResNet_RL,0,e39
